cell,gain,vol,tod,horizon,n,wr,wr_net,avg,median,exp_net
20%+|high|10:00-12:00,20%+,high,10:00-12:00,h15,422,0.4549763033175355,0.4099526066350711,0.00041212392746296816,-0.0005637768787347362,-0.001587876072537032
10-20%|med|14:00-16:00,10-20%,med,14:00-16:00,h15,1131,0.46330680813439434,0.40760389036251105,0.00026613434421886176,0.0,-0.0017338656557811384
<10%|high|14:00-16:00,<10%,high,14:00-16:00,h15,134,0.4701492537313433,0.1791044776119403,0.00013150768086734325,0.0,-0.0018684923191326567
10-20%|low|14:00-16:00,10-20%,low,14:00-16:00,h15,473,0.5221987315010571,0.4587737843551797,0.00009597998993870269,0.001200480192076805,-0.0019040200100612973
<10%|med|12:00-14:00,<10%,med,12:00-14:00,h15,27,0.48148148148148145,0.37037037037037035,-0.00036837843685610683,0.0,-0.002368378436856107
<10%|med|10:00-12:00,<10%,med,10:00-12:00,h15,33,0.36363636363636365,0.36363636363636365,-0.00039628302118179285,-0.00454545454545465,-0.002396283021181793
10-20%|high|12:00-14:00,10-20%,high,12:00-14:00,h15,2386,0.4752724224643755,0.3964794635373009,-0.0005335231106124873,0.0,-0.0025335231106124873
10-20%|high|14:00-16:00,10-20%,high,14:00-16:00,h15,1922,0.44849115504682624,0.37304890738813734,-0.0006714008130093149,-0.00042719260197788693,-0.002671400813009315
<10%|med|14:00-16:00,<10%,med,14:00-16:00,h15,52,0.5192307692307693,0.36538461538461536,-0.0008881317341153175,0.0005707043273583414,-0.0028881317341153175
<10%|med|09:30-10:00,<10%,med,09:30-10:00,h15,32,0.53125,0.46875,-0.0018446199261766797,0.0006902102925288133,-0.0038446199261766797
<10%|high|10:00-12:00,<10%,high,10:00-12:00,h15,39,0.41025641025641024,0.28205128205128205,-0.0036080521875795613,-0.002158894645941309,-0.005608052187579562
<10%|low|12:00-14:00,<10%,low,12:00-14:00,h15,10,0.3,0.3,-0.004184585182567501,-0.001593081474738286,-0.006184585182567501
<10%|high|09:30-10:00,<10%,high,09:30-10:00,h15,22,0.4090909090909091,0.2727272727272727,-0.007483110091585025,-0.002693147407218625,-0.009483110091585024
<10%|low|14:00-16:00,<10%,low,14:00-16:00,h15,5,0.2,0.2,-0.02190397507882317,-0.04488078541374478,-0.02390397507882317
20%+|med|09:30-10:00,20%+,med,09:30-10:00,h15,63,0.3333333333333333,0.31746031746031744,-0.031023542139905425,-0.024858757062146766,-0.033023542139905424
<10%|low|09:30-10:00,<10%,low,09:30-10:00,h30,39,0.717948717948718,0.6923076923076923,0.02613265828127794,0.011441647597253964,0.02413265828127794
20%+|low|10:00-12:00,20%+,low,10:00-12:00,h30,363,0.5344352617079889,0.5289256198347108,0.017785384528984923,0.005434782608695656,0.015785384528984925
<10%|low|10:00-12:00,<10%,low,10:00-12:00,h30,13,0.6153846153846154,0.6153846153846154,0.017441280407090594,0.023608768971332305,0.015441280407090594
20%+|med|10:00-12:00,20%+,med,10:00-12:00,h30,549,0.5573770491803278,0.5264116575591985,0.013538091912754874,0.00476190476190466,0.011538091912754874
10-20%|low|10:00-12:00,10-20%,low,10:00-12:00,h30,860,0.6023255813953489,0.5767441860465117,0.012237609560084179,0.008479410228018982,0.010237609560084179
20%+|med|12:00-14:00,20%+,med,12:00-14:00,h30,812,0.5677339901477833,0.5381773399014779,0.010590504805974985,0.004618367203136995,0.008590504805974985
20%+|med|14:00-16:00,20%+,med,14:00-16:00,h30,834,0.5815347721822542,0.5479616306954437,0.009736829584827838,0.0040927999106618925,0.007736829584827838
10-20%|low|12:00-14:00,10-20%,low,12:00-14:00,h30,497,0.5995975855130785,0.5754527162977867,0.009704146804579471,0.00692840646651276,0.007704146804579471
20%+|low|14:00-16:00,20%+,low,14:00-16:00,h30,304,0.5460526315789473,0.5328947368421053,0.008328280724589186,0.005442428730099988,0.006328280724589186
<10%|med|10:00-12:00,<10%,med,10:00-12:00,h30,28,0.39285714285714285,0.39285714285714285,0.008297069784182948,-0.0059523809523810015,0.006297069784182948
<10%|med|09:30-10:00,<10%,med,09:30-10:00,h30,30,0.5333333333333333,0.4666666666666667,0.007980405992018855,0.0014467881183273662,0.005980405992018855
10-20%|med|10:00-12:00,10-20%,med,10:00-12:00,h30,1267,0.5374901341752171,0.516179952644041,0.005533397558611436,0.0027422303473492813,0.0035333975586114364
10-20%|low|14:00-16:00,10-20%,low,14:00-16:00,h30,390,0.5564102564102564,0.5256410256410257,0.005164308358535961,0.00326828773738441,0.0031643083585359607
<10%|med|12:00-14:00,<10%,med,12:00-14:00,h30,26,0.6153846153846154,0.5,0.004297698393829716,0.002529700005605184,0.002297698393829716
10-20%|low|09:30-10:00,10-20%,low,09:30-10:00,h30,531,0.5084745762711864,0.4971751412429379,0.0042117449701137705,0.0012531328320801738,0.0022117449701137704
20%+|high|14:00-16:00,20%+,high,14:00-16:00,h30,1247,0.5244587008821171,0.47714514835605454,0.00390222345795932,0.0011641443538998588,0.00190222345795932
20%+|low|12:00-14:00,20%+,low,12:00-14:00,h30,377,0.5464190981432361,0.5384615384615384,0.003281071091387446,0.00454545454545461,0.0012810710913874462
20%+|high|10:00-12:00,20%+,high,10:00-12:00,h30,418,0.4880382775119617,0.4569377990430622,0.002934545829734872,0.0,0.0009345458297348721
10-20%|high|09:30-10:00,10-20%,high,09:30-10:00,h30,248,0.4959677419354839,0.4314516129032258,0.0026611410677584353,0.0,0.0006611410677584352
20%+|high|12:00-14:00,20%+,high,12:00-14:00,h30,1114,0.5368043087971275,0.4982046678635548,0.002511429212180891,0.0018357520480447526,0.0005114292121808908
10-20%|high|10:00-12:00,10-20%,high,10:00-12:00,h30,1573,0.5244755244755245,0.47679593134138587,0.0022888229960199803,0.001110523532522517,0.00028882299601998025
10-20%|med|12:00-14:00,10-20%,med,12:00-14:00,h30,1141,0.5030674846625767,0.4583698510078878,0.002248950063065034,0.0005347593582887903,0.00024895006306503405
<10%|high|12:00-14:00,<10%,high,12:00-14:00,h30,67,0.4626865671641791,0.417910447761194,0.0010609194149605308,0.0,-0.0009390805850394692
10-20%|med|14:00-16:00,10-20%,med,14:00-16:00,h30,994,0.45875251509054327,0.4245472837022133,0.0004168811383710504,-0.0005746177665000502,-0.0015831188616289497
<10%|high|14:00-16:00,<10%,high,14:00-16:00,h30,116,0.4482758620689655,0.16379310344827586,0.00001711817490511026,0.0,-0.0019828818250948897
10-20%|high|14:00-16:00,10-20%,high,14:00-16:00,h30,1794,0.467670011148272,0.4158305462653289,-0.0007823184262122642,-0.00024672618548757366,-0.002782318426212264
10-20%|high|12:00-14:00,10-20%,high,12:00-14:00,h30,2363,0.4765129073212019,0.4210749047820567,-0.0010924262368535948,-0.00024142926122658416,-0.0030924262368535946
10-20%|med|09:30-10:00,10-20%,med,09:30-10:00,h30,380,0.4394736842105263,0.42105263157894735,-0.0015411636589224011,-0.0041292468065832495,-0.003541163658922401
<10%|high|10:00-12:00,<10%,high,10:00-12:00,h30,41,0.4634146341463415,0.4634146341463415,-0.0017318899543222847,-0.00035734705546014114,-0.0037318899543222848
<10%|med|14:00-16:00,<10%,med,14:00-16:00,h30,41,0.2926829268292683,0.17073170731707318,-0.002700505620920631,-0.0013289036544851395,-0.0047005056209206315
20%+|low|09:30-10:00,20%+,low,09:30-10:00,h30,135,0.4444444444444444,0.4,-0.0033154949746757876,-0.002439024390243995,-0.005315494974675788
<10%|high|09:30-10:00,<10%,high,09:30-10:00,h30,21,0.47619047619047616,0.47619047619047616,-0.005654702310703538,-0.001740294511378978,-0.007654702310703538
<10%|low|12:00-14:00,<10%,low,12:00-14:00,h30,7,0.2857142857142857,0.2857142857142857,-0.005787147915663949,-0.0043715846994536525,-0.007787147915663949
<10%|low|14:00-16:00,<10%,low,14:00-16:00,h30,9,0.5555555555555556,0.5555555555555556,-0.009901704317379046,0.0027472527472527865,-0.011901704317379046
20%+|med|09:30-10:00,20%+,med,09:30-10:00,h30,68,0.25,0.22058823529411764,-0.04411789023036378,-0.04747856831190174,-0.04611789023036378
20%+|high|09:30-10:00,20%+,high,09:30-10:00,h30,52,0.34615384615384615,0.3076923076923077,-0.05069945720882903,-0.05905414908579468,-0.05269945720882903
<10%|low|14:00-16:00,<10%,low,14:00-16:00,h5,16,0.4375,0.375,0.009365157490524917,0.0,0.0073651574905249165
<10%|low|09:30-10:00,<10%,low,09:30-10:00,h5,43,0.5116279069767442,0.46511627906976744,0.006110331661924986,0.0018281535648995751,0.004110331661924986
20%+|low|14:00-16:00,20%+,low,14:00-16:00,h5,401,0.5311720698254364,0.513715710723192,0.0036110131795352145,0.002680965147453145,0.0016110131795352145
10-20%|low|12:00-14:00,10-20%,low,12:00-14:00,h5,602,0.4900332225913621,0.4568106312292359,0.003021610714979506,0.0,0.0010216107149795058
20%+|med|10:00-12:00,20%+,med,10:00-12:00,h5,580,0.4879310344827586,0.43448275862068964,0.0025967936821043613,0.0,0.0005967936821043613
10-20%|low|10:00-12:00,10-20%,low,10:00-12:00,h5,1088,0.5036764705882353,0.46691176470588236,0.002088805541075208,0.0004287921918283988,0.00008880554107520804
20%+|med|14:00-16:00,20%+,med,14:00-16:00,h5,1068,0.4943820224719101,0.45131086142322097,0.002049876244903002,0.0,0.00004987624490300187
20%+|low|09:30-10:00,20%+,low,09:30-10:00,h5,155,0.45806451612903226,0.44516129032258067,0.001980688024248235,0.0,-0.00001931197575176513
20%+|med|12:00-14:00,20%+,med,12:00-14:00,h5,906,0.5022075055187638,0.45916114790286977,0.0019754362648557017,0.00032429180885937866,-0.000024563735144298316
<10%|med|10:00-12:00,<10%,med,10:00-12:00,h5,33,0.3939393939393939,0.36363636363636365,0.0018207165828150276,-0.0009057971014492561,-0.00017928341718497246
20%+|low|10:00-12:00,20%+,low,10:00-12:00,h5,477,0.46331236897274636,0.44863731656184486,0.001775628417589748,0.0,-0.0002243715824102521
<10%|med|14:00-16:00,<10%,med,14:00-16:00,h5,54,0.3888888888888889,0.2777777777777778,0.0015640698619941466,0.0,-0.00043593013800585344
<10%|med|09:30-10:00,<10%,med,09:30-10:00,h5,30,0.5666666666666667,0.4666666666666667,0.0015394747197495149,0.0014604256564287252,-0.0004605252802504852
10-20%|low|14:00-16:00,10-20%,low,14:00-16:00,h5,486,0.48559670781893005,0.43209876543209874,0.0015122750941137242,0.0,-0.00048772490588627586
20%+|high|10:00-12:00,20%+,high,10:00-12:00,h5,421,0.47980997624703087,0.4180522565320665,0.0014300760692297063,0.0,-0.0005699239307702937
10-20%|med|09:30-10:00,10-20%,med,09:30-10:00,h5,397,0.4659949622166247,0.4282115869017632,0.0013965779713670883,0.0,-0.0006034220286329117
20%+|high|14:00-16:00,20%+,high,14:00-16:00,h5,1428,0.5028011204481793,0.42436974789915966,0.001012773893116255,0.00010944408862956071,-0.000987226106883745
10-20%|med|10:00-12:00,10-20%,med,10:00-12:00,h5,1347,0.49962880475129917,0.44988864142538976,0.0009873158006823684,0.0,-0.0010126841993176317
20%+|high|12:00-14:00,20%+,high,12:00-14:00,h5,1154,0.4696707105719237,0.3951473136915078,0.0008082527737214251,0.0,-0.0011917472262785748
<10%|high|12:00-14:00,<10%,high,12:00-14:00,h5,79,0.379746835443038,0.20253164556962025,0.0005411456383776771,0.0,-0.001458854361622323
10-20%|high|09:30-10:00,10-20%,high,09:30-10:00,h5,250,0.48,0.432,0.00046242364000229904,-0.000663164869898485,-0.001537576359997701
10-20%|med|14:00-16:00,10-20%,med,14:00-16:00,h5,1133,0.44836716681376876,0.37246248896734335,0.00036653533926883115,0.0,-0.0016334646607311688
10-20%|low|09:30-10:00,10-20%,low,09:30-10:00,h5,620,0.482258064516129,0.45806451612903226,0.0003415441972499556,0.0,-0.0016584558027500445
10-20%|high|10:00-12:00,10-20%,high,10:00-12:00,h5,1627,0.4892440073755378,0.4056545789797173,0.00012262674831585836,0.0,-0.0018773732516841417
<10%|med|12:00-14:00,<10%,med,12:00-14:00,h5,27,0.3333333333333333,0.18518518518518517,0.00009794763103496505,0.0,-0.001902052368965035
10-20%|med|12:00-14:00,10-20%,med,12:00-14:00,h5,1223,0.4538021259198692,0.3769419460343418,0.00006495935180137513,0.0,-0.0019350406481986248
10-20%|high|14:00-16:00,10-20%,high,14:00-16:00,h5,2007,0.4598903836571998,0.32585949177877427,4.3425368063744684e-6,0.0,-0.0019956574631936255
<10%|high|14:00-16:00,<10%,high,14:00-16:00,h5,151,0.3576158940397351,0.09271523178807947,-7.731209085041674e-6,0.0,-0.002007731209085042
10-20%|high|12:00-14:00,10-20%,high,12:00-14:00,h5,2362,0.46020321761219307,0.3344623200677392,-0.00038853159735409177,0.0,-0.0023885315973540917
20%+|low|12:00-14:00,20%+,low,12:00-14:00,h5,419,0.4606205250596659,0.441527446300716,-0.0008812339149071486,0.0,-0.0028812339149071487
<10%|high|10:00-12:00,<10%,high,10:00-12:00,h5,45,0.35555555555555557,0.26666666666666666,-0.0009399005818309782,-0.0027247956403269615,-0.002939900581830978
<10%|high|09:30-10:00,<10%,high,09:30-10:00,h5,20,0.45,0.3,-0.0010766351920150174,-0.0006415317924349995,-0.0030766351920150175
<10%|low|12:00-14:00,<10%,low,12:00-14:00,h5,8,0.5,0.5,-0.001549206897300259,0.003726454738715565,-0.0035492068973002593
20%+|high|09:30-10:00,20%+,high,09:30-10:00,h5,48,0.5,0.4791666666666667,-0.004826138890569661,0.00032851511169515045,-0.006826138890569661
<10%|low|10:00-12:00,<10%,low,10:00-12:00,h5,18,0.4444444444444444,0.4444444444444444,-0.007287266155774155,-0.002399004294455161,-0.009287266155774155
20%+|med|09:30-10:00,20%+,med,09:30-10:00,h5,53,0.41509433962264153,0.39622641509433965,-0.018703919656431048,-0.0059171597633134836,-0.02070391965643105
<10%|low|09:30-10:00,<10%,low,09:30-10:00,h60,39,0.6153846153846154,0.6153846153846154,0.04735838476788874,0.013824884792626843,0.04535838476788874
<10%|med|10:00-12:00,<10%,med,10:00-12:00,h60,20,0.6,0.6,0.04691536519900123,0.003972198554703441,0.04491536519900123
20%+|low|10:00-12:00,20%+,low,10:00-12:00,h60,314,0.5859872611464968,0.5605095541401274,0.03033960808423656,0.010112862440102418,0.028339608084236557
20%+|med|10:00-12:00,20%+,med,10:00-12:00,h60,517,0.5589941972920697,0.5377176015473888,0.024245910712260805,0.0040733197556007275,0.022245910712260807
10-20%|low|10:00-12:00,10-20%,low,10:00-12:00,h60,790,0.6278481012658228,0.610126582278481,0.022683136957108607,0.012986305633364531,0.020683136957108605
<10%|med|09:30-10:00,<10%,med,09:30-10:00,h60,29,0.5862068965517241,0.5862068965517241,0.020605641662590726,0.018207282913165253,0.018605641662590724
20%+|med|12:00-14:00,20%+,med,12:00-14:00,h60,791,0.5764854614412137,0.5600505689001264,0.017901028266964738,0.006224066390041434,0.01590102826696474
20%+|low|14:00-16:00,20%+,low,14:00-16:00,h60,211,0.5497630331753555,0.5497630331753555,0.013836927038938355,0.010873712323540638,0.011836927038938355
10-20%|low|12:00-14:00,10-20%,low,12:00-14:00,h60,455,0.578021978021978,0.5692307692307692,0.012370691733436667,0.009584664536741293,0.010370691733436667
<10%|low|10:00-12:00,<10%,low,10:00-12:00,h60,15,0.8,0.6666666666666666,0.011721310378518616,0.008431703204047339,0.009721310378518616
10-20%|med|10:00-12:00,10-20%,med,10:00-12:00,h60,1137,0.5488126649076517,0.5312225153913809,0.010550473933237207,0.004645760743321758,0.008550473933237207
10-20%|low|09:30-10:00,10-20%,low,09:30-10:00,h60,487,0.5420944558521561,0.5297741273100616,0.009449755987087121,0.003999999999999915,0.007449755987087121
20%+|low|12:00-14:00,20%+,low,12:00-14:00,h60,310,0.5451612903225806,0.535483870967742,0.009297507258931734,0.005710485058672581,0.007297507258931734
20%+|med|14:00-16:00,20%+,med,14:00-16:00,h60,529,0.5122873345935728,0.497164461247637,0.008622746059467213,0.0017152658662092258,0.006622746059467213
20%+|high|14:00-16:00,20%+,high,14:00-16:00,h60,910,0.5714285714285714,0.5351648351648352,0.007091812523629142,0.003913909313725461,0.005091812523629142
10-20%|high|10:00-12:00,10-20%,high,10:00-12:00,h60,1528,0.5379581151832461,0.49476439790575916,0.0045022470626256555,0.001792596936161467,0.0025022470626256555
<10%|med|14:00-16:00,<10%,med,14:00-16:00,h60,24,0.5,0.4583333333333333,0.00421743275623033,0.00019076688286909596,0.00221743275623033
10-20%|med|12:00-14:00,10-20%,med,12:00-14:00,h60,1097,0.5132178669097539,0.48951686417502277,0.00419339458517309,0.0013416815742397646,0.00219339458517309
<10%|med|12:00-14:00,<10%,med,12:00-14:00,h60,21,0.47619047619047616,0.47619047619047616,0.0034328882376333148,0.0,0.0014328882376333147
<10%|high|12:00-14:00,<10%,high,12:00-14:00,h60,75,0.52,0.36,0.0028918513697525953,0.0004804355949392782,0.0008918513697525952
20%+|high|10:00-12:00,20%+,high,10:00-12:00,h60,416,0.47836538461538464,0.4519230769230769,0.0028363436328492876,-0.00028588392218106547,0.0008363436328492875
10-20%|low|14:00-16:00,10-20%,low,14:00-16:00,h60,276,0.5253623188405797,0.5,0.0026549100034754035,0.00203856246055739,0.0006549100034754034
<10%|high|14:00-16:00,<10%,high,14:00-16:00,h60,87,0.4942528735632184,0.25287356321839083,0.00226740890536247,0.0,0.0002674089053624701
10-20%|med|14:00-16:00,10-20%,med,14:00-16:00,h60,746,0.4477211796246649,0.4249329758713137,0.002039960262716914,-0.0013128446863386344,0.000039960262716914104
20%+|high|12:00-14:00,20%+,high,12:00-14:00,h60,1074,0.5353817504655494,0.5018621973929237,0.001872939782578443,0.002140112195060131,-0.00012706021742155712
10-20%|high|09:30-10:00,10-20%,high,09:30-10:00,h60,238,0.46218487394957986,0.4327731092436975,0.0015567912326725553,-0.003599396477748683,-0.0004432087673274447
10-20%|med|09:30-10:00,10-20%,med,09:30-10:00,h60,358,0.48044692737430167,0.45251396648044695,0.0011388365786313308,-0.0014729105928085852,-0.0008611634213686692
10-20%|high|12:00-14:00,10-20%,high,12:00-14:00,h60,2273,0.471623405191377,0.4329080510338759,-0.0021829291379395813,-0.00040125727278808446,-0.004182929137939582
10-20%|high|14:00-16:00,10-20%,high,14:00-16:00,h60,1303,0.44973138910207217,0.40138142747505756,-0.0023251863677652015,-0.0018050541516245102,-0.004325186367765202
<10%|high|10:00-12:00,<10%,high,10:00-12:00,h60,40,0.625,0.525,-0.0031097894954585483,0.003085003776186794,-0.005109789495458548
<10%|low|14:00-16:00,<10%,low,14:00-16:00,h60,3,0.0,0.0,-0.004312269248146662,-0.0033444816053512477,-0.006312269248146662
<10%|low|12:00-14:00,<10%,low,12:00-14:00,h60,7,0.5714285714285714,0.42857142857142855,-0.01624101746183049,0.0012232415902140412,-0.01824101746183049
20%+|low|09:30-10:00,20%+,low,09:30-10:00,h60,108,0.39814814814814814,0.39814814814814814,-0.0188087264975743,-0.016793111508597983,-0.0208087264975743
<10%|high|09:30-10:00,<10%,high,09:30-10:00,h60,18,0.16666666666666666,0.16666666666666666,-0.01988261036273096,-0.018046396349519035,-0.02188261036273096
20%+|med|09:30-10:00,20%+,med,09:30-10:00,h60,64,0.265625,0.25,-0.02973280792712737,-0.07102584825980042,-0.03173280792712737
20%+|high|09:30-10:00,20%+,high,09:30-10:00,h60,58,0.27586206896551724,0.25862068965517243,-0.07435858405441946,-0.11928718412005315,-0.07635858405441946
