day,ticker,rk,nbar,open0,g40,g45,g50,g00,pos40,pos50,pos00,traj,g_early,g_late,accel,vwap_dist,mins_since_hi,dd_from_hi,pullbacks,diff45,diff00,widen,dvol_acc,fwd,hit,fade,last_tod,nwbars,_b,_dd
2025-03-28,DBVT,1,310,5.82,0.0962199312714775,0.0979381443298967,0.056701030927835,0.0773195876288659,1.0,2.0,1.0,stable,0.0979381443298967,-0.0187793427230047,-0.1167174870529015,-0.0032317726457554,21,-0.0683506686478455,1,0.0489363294478639,0.0032455135547917,-0.0456908158930722,-0.3226921707147224,-0.0255183413078148,0,1,1199,31,T3-hi,5-10%
2025-03-28,PRTG,2,329,9.45,0.0148148148148148,0.0095238095238094,0.1100529100529101,0.0740740740740741,11.0,1.0,2.0,rising,0.0095238095238094,0.0639412997903565,0.054417490266547,0.0146626529412314,9,-0.0351711026615968,1,-0.0884143348060872,-0.0032455135547917,0.0851688212512955,1.3275505377471344,-0.0502463054187192,0,1,1199,31,T1-lo,2-5%
2025-03-28,WOLF,3,330,2.755,0.0617059891107076,0.0490018148820328,0.0399274047186934,0.0671506352087114,2.0,3.0,3.0,stable,0.0490018148820328,0.0173010380622837,-0.031700776819749,0.0269684813582335,20,-0.0167224080267559,1,-0.0489363294478639,-0.0101689524201544,0.0387673770277094,-0.53199587053876,-0.1224489795918366,0,1,1199,31,T2-mid,0-2%
2025-03-28,MBX,4,106,7.52,0.0,0.0146276595744681,0.0132978723404255,0.0472074468085106,43.0,22.0,4.0,rising,0.0146276595744681,0.0321100917431191,0.017482432168651,0.0191000471752147,3,-0.0081863979848867,0,-0.0833104847554286,-0.0301121408203552,0.0531983439350733,7.087138272345905,-0.0120634920634919,0,1,1199,16,T1-lo,0-2%
2025-03-28,CRVO,5,122,9.04,-0.0044247787610618,-0.0044247787610618,-0.0055309734513273,0.0420353982300885,49.0,50.0,5.0,rising,-0.0044247787610618,0.0466666666666666,0.0510914454277284,0.0170843984899344,0,-0.0136125654450262,0,-0.1023629230909586,-0.0352841893987774,0.0670787336921812,4.370277518133721,0.0063694267515923,0,0,1199,15,T1-lo,0-2%
2025-04-02,VMAR,1,187,5.86,0.2679180887372012,0.4590443686006826,0.3139931740614334,0.5682593856655289,2.0,1.0,1.0,stable,0.4590443686006826,0.0748538011695905,-0.3841905674310921,0.1332065837088005,1,0.0,1,0.2732736176125403,0.1705268232241255,-0.1027467943884148,1.0194917901979803,-0.4488574537540805,0,1,1199,10,T3-hi,0-2%
2025-04-02,PTEST.A,2,330,10.67681,0.1021284447320876,0.1051884411167756,0.1675005924054096,0.3977325624414034,3.0,3.0,2.0,stable,0.1051884411167756,0.2647006704386236,0.159512229321848,0.1873088924611867,18,-0.0075342094968986,3,-0.353855927483907,-0.1705268232241255,0.1833291042597815,-0.0911877966796479,-0.2337610418589691,0,1,1199,31,T3-hi,0-2%
2025-04-02,CTEST.A,3,330,10.916434,0.3368973787594005,0.0586457079298972,0.2883488325949663,0.3349483906557764,1.0,2.0,3.0,stable,0.0586457079298972,0.2609963660705419,0.2023506581406446,0.1583774441137699,1,-0.0302222142957627,2,-0.4003986606707854,-0.2333109950097525,0.1670876656610329,-0.0586939594150767,-0.1171658223126307,0,1,1199,31,T2-mid,2-5%
2025-04-02,QSG,4,242,5.06,0.0909090909090908,0.1857707509881423,0.1403162055335969,0.1205533596837944,4.0,5.0,4.0,stable,0.1857707509881423,-0.055,-0.2407707509881423,-0.0089730697877496,14,-0.0825242718446601,0,-0.2732736176125403,-0.4477060259817345,-0.1744324083691941,0.1126784272671754,0.0881834215167549,1,0,1199,30,T3-hi,5-10%
2025-04-02,MTEST.A,5,330,12.603382,0.0122028357150485,0.1436235924611346,-0.0774020814413147,0.1068579052828835,24.0,50.0,5.0,rising,0.1436235924611346,-0.0321484161577406,-0.1757720086188753,0.1005902031586223,2,-0.0729477764314807,4,-0.315420776139548,-0.4614014803826454,-0.1459807042430974,-0.0941595391201209,0.010396588481861,1,0,1199,31,T3-hi,5-10%
2025-04-15,MURA,1,330,2.51,0.1752988047808765,0.1354581673306774,0.1155378486055778,0.1115537848605578,1.0,1.0,1.0,stable,0.1354581673306774,-0.0210526315789474,-0.1565107989096248,0.0148249163203453,20,-0.0999999999999999,1,0.0761056493450658,0.0023460760811147,-0.0737595732639511,-0.4169328954202008,-0.1397849462365592,0,1,1199,31,T3-hi,5-10%
2025-04-15,DWTX,2,302,4.67,0.0299785867237687,0.0042826552462527,0.0,0.1092077087794431,3.0,48.0,2.0,stable,0.0042826552462527,0.1044776119402983,0.1001949566940456,0.0264637907074287,24,-0.0991304347826087,0,-0.1311755120844246,-0.0023460760811147,0.1288294360033099,0.2549752300710439,-0.1988416988416987,0,1,1199,23,T1-lo,5-10%
2025-04-15,SNYR,3,326,2.85,-0.0105263157894737,0.0421052631578948,0.0666666666666666,0.0982456140350875,48.0,2.0,3.0,rising,0.0421052631578948,0.0538720538720538,0.0117667907141589,0.0134978601760908,5,-0.0794117647058824,2,-0.0933529041727825,-0.0133081708254703,0.0800447333473122,1.377684247128975,-0.2747603833865815,0,1,1199,31,T2-mid,5-10%
2025-04-15,BGLC,4,107,2.37,0.021097046413502,0.0379746835443037,0.0464135021097045,0.0675105485232065,8.0,6.0,4.0,stable,0.0379746835443037,0.0284552845528454,-0.0095193989914583,0.0274184130212749,0,0.0,0,-0.0974834837863736,-0.0440432363373513,0.0534402474490223,1.532075353859392,0.0454545454545456,1,0,1199,12,T2-mid,0-2%
2025-04-15,PHIO,5,253,2.55,-0.0352941176470588,-0.0196078431372548,0.0039215686274509,0.0588235294117649,50.0,45.0,5.0,rising,-0.0196078431372548,0.08,0.0996078431372549,0.0162151027538925,4,-0.0459363957597173,1,-0.1550660104679322,-0.0527302554487929,0.1023357550191392,2.8300683291122546,-0.0999999999999999,0,1,1199,21,T1-lo,2-5%
2025-04-29,KALA,1,149,3.9,0.0461538461538462,0.0461538461538462,0.0461538461538462,0.1153846153846154,5.0,5.0,1.0,stable,0.0461538461538462,0.0661764705882352,0.020022624434389,0.0573288078474192,1,0.0,0,-0.0226534932956949,0.0405935903076246,0.0632470836033196,0.8096872605435084,-0.0183908045977011,0,1,1199,11,T2-mid,0-2%
2025-04-29,PVLA,2,104,22.73,0.0272767267927849,0.043334799824021,0.0567531896172459,0.0747910250769907,10.0,2.0,2.0,rising,0.043334799824021,0.0301496942863166,-0.0131851055377043,0.0450878212589631,4,-0.0010222858311182,0,-0.0254725396255202,-0.0405935903076246,-0.0151210506821044,-0.679446651989498,-0.0437986082685223,0,1,1199,14,T2-mid,0-2%
2025-04-29,SAGT,3,126,4.36,0.0825688073394494,0.0688073394495412,0.0802752293577981,0.0642201834862383,1.0,1.0,3.0,stable,0.0688073394495412,-0.0042918454935623,-0.0730991849431035,0.0036629565768155,13,-0.0333333333333333,0,0.0001378115525454,-0.051164431898377,-0.0513022434509224,-0.687748408324111,-0.1228448275862067,0,1,1199,16,T2-mid,2-5%
2025-04-29,CRWV,4,325,43.375,0.0305475504322767,0.0321613832853027,0.0374639769452449,0.0625936599423631,8.0,9.0,4.0,stable,0.0321613832853027,0.0294840294840295,-0.0026773538012732,0.0229839216387992,6,-0.0075366063738155,0,-0.0366459561642384,-0.0527909554422523,-0.0161449992780138,-0.1428770685973305,-0.0685615100889565,0,1,1199,31,T1-lo,0-2%
2025-04-29,VKTX,5,326,27.08,0.0044313146233383,0.0088626292466766,0.0112629246676514,0.0480059084194979,43.0,42.0,5.0,rising,0.0088626292466766,0.0387994143484626,0.0299367851017859,0.0137075039886271,1,-0.0138985406532314,0,-0.0599447102028645,-0.0673787069651175,-0.0074339967622529,4.0282039603134905,-0.0151515151515151,0,1,1199,31,T1-lo,0-2%
2025-05-02,SDM,1,251,6.6,0.25,0.25,0.5090909090909093,0.9227272727272728,1.0,1.0,1.0,stable,0.25,0.5381818181818181,0.2881818181818181,0.1920854628186494,0,0.0,1,0.1163783291600271,0.8356060606060607,0.7192277314460336,5.794863899814695,-0.5334909377462569,0,1,1199,8,T3-hi,0-2%
